Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,21.719999,22.120001,21.360001,21.600000,21.600000,506210
2019-11-08,21.420000,21.616501,21.020000,21.340000,21.340000,128942
2019-11-11,21.940001,21.940001,20.500000,20.600000,20.600000,168007
2019-11-12,21.219999,21.219999,20.700001,20.840000,20.840000,78432
2019-11-13,20.799999,20.799999,20.500000,20.700001,20.700001,51999
2019-11-14,20.559999,20.719999,20.420000,20.500000,20.500000,53193
2019-11-15,20.520000,20.559999,20.200001,20.299999,20.299999,91280
2019-11-18,20.379999,20.379999,19.930000,20.000000,20.000000,405229
2019-11-19,20.600000,20.600000,19.860001,19.889999,19.889999,140738
2019-11-20,20.100000,20.660000,19.900000,20.600000,20.600000,177467
2019-11-21,20.740000,21.059999,20.120001,20.980000,20.980000,201394
2019-11-22,21.000000,21.059999,20.500000,20.799999,20.799999,180733
2019-11-25,20.780001,20.837999,20.420000,20.480000,20.480000,232072
2019-11-26,20.440001,20.500000,19.920000,20.000000,20.000000,369542
2019-11-27,20.480000,20.480000,19.930000,20.200001,20.200001,185195
2019-11-28,20.020000,20.299999,20.000000,20.299999,20.299999,154894
2019-11-29,20.299999,20.500000,20.100000,20.200001,20.200001,92973
2019-12-02,20.340000,20.340000,19.510000,19.549999,19.549999,389627
2019-12-03,19.690001,19.700001,19.280001,19.549999,19.549999,56726
2019-12-04,19.200001,20.080000,19.200001,19.990000,19.990000,156278
2019-12-05,19.770000,20.209999,19.600000,19.670000,19.670000,188549
2019-12-06,20.000000,20.059999,19.790001,19.900000,19.900000,75617
2019-12-09,19.900000,20.040001,18.732340,19.010000,19.010000,158790
2019-12-10,18.950001,19.150000,18.549999,18.730000,18.730000,341624
2019-12-11,19.209999,19.830000,19.209999,19.600000,19.600000,321986
2019-12-12,20.000000,20.000000,19.610001,19.750000,19.750000,460718
2019-12-13,19.889999,20.081850,19.660000,19.879999,19.879999,103048
2019-12-16,20.280001,20.580000,20.120001,20.299999,20.299999,66027
2019-12-17,20.600000,20.920000,20.420000,20.520000,20.520000,167937
2019-12-18,20.980000,21.100000,20.600000,21.000000,21.000000,194620
2019-12-19,20.980000,21.379999,20.420000,21.280001,21.280001,606429
2019-12-20,21.620001,21.620001,20.940001,21.200001,21.200001,269874
