Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,19.100000,19.299999,19.020000,19.260000,18.395582,161771
2019-11-08,19.299999,19.400000,19.020000,19.180000,18.319172,110348
2019-11-11,19.120001,19.180000,19.042500,19.180000,18.319172,69159
2019-11-12,19.120001,19.340000,19.100000,19.219999,18.357380,124276
2019-11-13,19.180000,19.459999,19.139999,19.299999,18.433786,128192
2019-11-14,19.360001,19.940001,19.340000,19.600000,18.720324,122083
2019-11-15,19.719999,19.740000,19.520000,19.740000,18.854042,143852
2019-11-18,19.820000,19.840000,19.520000,19.700001,18.815834,75522
2019-11-19,19.660000,19.860001,19.340000,19.500000,18.624809,172316
2019-11-20,19.540001,19.540001,18.780001,18.900000,18.051739,151333
2019-11-21,19.459999,19.459999,18.879999,18.959999,18.109047,458986
2019-11-22,19.080000,19.180000,18.620001,18.799999,17.956228,84960
2019-11-25,19.360001,19.360001,18.719999,18.719999,17.879818,233634
2019-11-26,18.879999,18.980000,18.620001,18.740000,17.898922,298315
2019-11-27,18.879999,18.879999,18.700001,18.719999,17.879818,107250
2019-11-28,18.900000,18.900000,18.520000,18.580000,17.746101,99628
2019-11-29,18.600000,18.660000,18.280001,18.400000,17.574179,150719
2019-12-02,18.400000,18.459999,18.020000,18.160000,17.344954,172132
2019-12-03,18.219999,18.299999,17.459999,17.700001,16.905600,425171
2019-12-04,17.680000,17.940001,17.600000,17.900000,17.096622,426927
2019-12-05,17.860001,18.379999,17.799999,18.200001,17.383158,410690
2019-12-06,18.420000,18.719999,18.299999,18.639999,17.803408,443556
2019-12-09,18.639999,19.440001,18.639999,19.379999,18.510197,187433
2019-12-10,19.400000,19.700001,19.320000,19.600000,18.720324,246433
2019-12-11,19.580000,19.920000,19.240000,19.240000,18.376480,210468
2019-12-12,19.360001,19.860001,19.340000,19.760000,18.873142,273621
2019-12-13,19.780001,20.100000,19.760000,20.000000,19.102371,216650
2019-12-16,20.100000,20.900000,20.049999,20.600000,19.675442,227334
2019-12-17,20.850000,21.000000,20.549999,20.700001,19.770954,201864
2019-12-18,20.850000,21.400000,20.850000,21.100000,20.153000,186507
2019-12-19,21.250000,21.400000,21.100000,21.150000,20.200756,398973
2019-12-20,21.100000,21.150000,20.600000,20.750000,19.818708,385363
2019-12-23,20.100000,21.049999,20.100000,20.950001,20.009731,353123
2019-12-24,21.400000,21.400000,20.850000,20.900000,19.961975,42135
2019-12-27,20.850000,21.150000,20.850000,21.000000,20.057489,80036
2019-12-30,20.850000,21.250000,20.850000,21.200001,20.248516,129289
2019-12-31,21.250000,21.500000,21.100000,21.500000,20.535049,76140
2020-01-02,21.200001,22.100000,21.200001,21.950001,20.964851,165121
2020-01-03,22.000000,22.000000,21.500000,21.600000,20.630562,133861
2020-01-06,21.400000,21.549999,21.150000,21.549999,20.582804,58041
2020-01-07,21.400000,21.600000,21.299999,21.450001,20.487293,57310
2020-01-08,21.450001,22.200001,21.350000,22.000000,21.012608,154171
2020-01-09,22.049999,22.299999,21.950001,22.250000,21.251387,88684
2020-01-10,22.250000,22.950001,22.250000,22.799999,21.776701,145572
2020-01-13,23.000000,23.400000,22.290899,23.299999,22.254259,282779
2020-01-14,23.299999,23.400000,23.100000,23.100000,22.063238,211068
2020-01-15,23.100000,24.000000,23.100000,23.500000,22.445284,435788
2020-01-16,23.600000,24.150000,23.350000,23.400000,22.349771,691449
2020-01-17,23.200001,23.850000,23.200001,23.650000,22.588551,135778
2020-01-20,23.500000,24.100000,23.500000,23.850000,22.779577,130552
2020-01-21,23.799999,23.799999,23.250000,23.350000,22.302019,160817
2020-01-22,23.799999,23.799999,23.250000,23.400000,22.349771,174977
2020-01-23,23.600000,23.600000,23.049999,23.100000,22.063238,289804
2020-01-24,23.400000,23.400000,23.049999,23.100000,22.063238,240229
2020-01-27,23.000000,23.049999,22.000000,22.250000,21.251387,439287
2020-01-28,22.650000,23.400000,22.500000,23.150000,22.110996,425029
2020-01-29,23.150000,23.500000,22.850000,23.350000,22.302019,524553
2020-01-30,23.299999,23.549999,23.100000,23.450001,22.397530,129019
2020-01-31,23.700001,23.900000,23.700001,23.799999,22.731819,341791
2020-02-03,24.100000,24.600000,23.950001,24.400000,23.304892,484942
2020-02-04,24.500000,25.450001,24.500000,25.100000,23.973475,493176
2020-02-05,25.600000,26.400000,25.400000,25.900000,24.737570,753240
2020-02-06,26.250000,26.600000,25.850000,26.000000,24.833082,376654
2020-02-07,26.100000,26.200001,25.700001,25.850000,24.689814,244033
2020-02-10,26.299999,26.600000,25.850000,25.950001,24.785326,400200
