,alpha,beta,mu,sigma
vkco,1.4537423123953583,0.06825090694943521,2.220446049250313e-16,0.014230142407863714
tcs_il,1.5643791446626043,-0.2393573598271752,0.0050268058298315755,0.018007077446934805
poly_il,1.512528195124051,-0.05301315915483573,0.0017391979695514088,0.012721260409446284
five_il,1.5601164620880892,0.2551650979651487,2.220446049250313e-16,0.01314398124436475
