,ks_test,anderson,cramervonmises
log_return_vkco,7.152951206742255e-29,0.001,8.085264679991155e-10
log_return_tcs_il,8.598872255808513e-48,0.001,4.767973793562419e-10
log_return_poly_il,1.2993922702387876e-41,0.001,3.3090442608241233e-09
log_return_five_il,7.705370356712841e-54,0.001,3.842439477708126e-09
