,ks_test,anderson,cramervonmises
log_return_vkco,0.28610351433848996,0.25,0.2596824190847117
log_return_tcs_il,0.9891030394048883,0.25,0.6746302369608467
log_return_poly_il,0.9447276394296992,0.25,0.4057491000990665
log_return_five_il,0.9447276394296992,0.25,0.4453112291830017
