,ks_test,anderson,cramervonmises
log_return_vkco,0.2947384148196473,0.2341356902665392,0.34913933175798273
log_return_tcs_il,0.6934275766345153,0.25,0.7483868256453218
log_return_poly_il,0.3486258786746414,0.25,0.40132821070385183
log_return_five_il,0.9391734750793209,0.25,0.888203471523067
